номер сеанса;Название организации;Объект испытаний 1;Объект испытаний 2;Объект испытаний 3;Объект испытаний 4;Код среды (Ион);Среднее по трековым детекторам;ТД1;ТД2;ТД3;ТД4;ТД5;ТД6;ТД7;ТД8;ТД9;Среднее по on-line детекторам;ОД1;ОД2;ОД3;ОД4;Интенсивность потока в сеансе;Номер протокола допуска;Угол облучения;Давление на испытательном комплексе;Влажность на испытательном комплексе, %;Температура на испытательном комплексе;Температура в сеансе;неоднородность, %;К;±;Неоднородность по левой стороне;Неоднородность по правой стороне
55;ПН(Переход);;;;;КрВак-;5,32E+06;5,30E+06;5,20E+06;5,50E+06;5,30E+06;5,30E+06;5,30E+06;5,30E+06;5,40E+06;5,30E+06;5,03E+06;4,95E+06;4,94E+06;4,87E+06;5,37E+06;1,00E+04;02.02.2002;-;733;50;25;25;5,45;1,06;0,3;;
56;ПН(Переход);;;;;КрВак-;1,05E+07;1,10E+07;1,00E+07;9,80E+06;1,10E+07;1,00E+07;1,00E+07;1,10E+07;1,10E+07;1,10E+07;1,00E+07;1,00E+07;9,93E+06;9,67E+06;1,06E+07;5,00E+04;02.02.2003;-;733;50;25;-;10,91;1,05;0,32;;
57;ПН(Переход);;;;;КрВак-;5,48E+05;5,40E+05;5,10E+05;5,30E+05;5,00E+05;5,70E+05;5,80E+05;5,80E+05;5,70E+05;5,50E+05;5,02E+05;5,01E+05;4,68E+05;5,11E+05;5,29E+05;1,00E+03;02.02.2004;-;734;51;25;-;13,79;1,09;0,33;;
58;СПЭЛС;21097010001;22010010001;;;КрВак-;1,13E+08;1,10E+08;1,10E+08;1,20E+08;1,10E+08;;;;;;1,04E+08;1,01E+08;9,86E+07;1,04E+08;1,14E+08;9,80E+04;02.02.2001;0;734;51;25;25;8,33;1,08;0,32;0;8,33
59;СПЭЛС;21097010001;22010010001;;;КрВак-;9,30E+07;9,10E+07;9,60E+07;9,40E+07;9,10E+07;;;;;;8,26E+07;8,04E+07;8,18E+07;7,95E+07;8,87E+07;9,00E+04;02.02.2001;0;734;51;25;25;5,21;1,13;0,32;5,21;3,19
60;СПЭЛС;21096010001;21096010002;;;КрВак-;1,01E+08;9,90E+07;1,10E+08;1,00E+08;9,30E+07;;;;;;9,20E+07;8,93E+07;9,08E+07;8,86E+07;9,95E+07;9,00E+04;02.02.2001;0;734;51;25;25;15,45;1,09;0,36;10;7
61;СПЭЛС;21096010001;21096010002;;;КрВак-;1,15E+08;1,20E+08;1,10E+08;1,20E+08;1,10E+08;;;;;;1,10E+08;1,07E+08;1,09E+08;1,06E+08;1,18E+08;5,00E+04;02.02.2001;0;734;51;25;25;8,33;1,05;0,32;8,33;8,33
62;СПЭЛС;20125010004;20125010004;;;КрВак-;1,75E+06;1,70E+06;1,80E+06;;;;;;;;1,59E+06;1,57E+06;1,57E+06;1,53E+06;1,69E+06;1,00E+03;02.02.2001;0;734;51;25;25;5,56;1,1;0,34;;
63;СПЭЛС;20125010005;20125010005;;;КрВак-;3,60E+06;3,70E+06;3,50E+06;;;;;;;;3,04E+06;2,98E+06;3,01E+06;2,94E+06;3,25E+06;1,00E+04;02.02.2001;0;734;51;25;40;5,41;1,18;0,36;;
64;СПЭЛС;20125010005;20125010006;;;КрВак-;3,65E+06;3,80E+06;3,60E+06;3,50E+06;3,70E+06;;;;;;3,04E+06;2,97E+06;3,01E+06;2,93E+06;3,24E+06;1,00E+04;02.02.2001;0;734;51;25;40;7,89;1,2;0,35;5,26;5,41
65;СПЭЛС;20125010006;20125010006;;;КрВак-;3,65E+06;3,50E+06;3,80E+06;;;;;;;;3,22E+06;3,17E+06;3,25E+06;3,07E+06;3,41E+06;2,00E+04;02.02.2001;0;734;51;25;40;7,89;1,13;0,38;;
66;СПЭЛС;20125010003;20125010010;;;КрВак-;3,90E+06;4,00E+06;4,00E+06;3,70E+06;3,90E+06;;;;;;3,50E+06;3,48E+06;3,61E+06;3,27E+06;3,66E+06;1,00E+02;02.02.2001;0;734;51;25;40;7,5;1,11;0,33;0;5,13
67;СПЭЛС;20125010010;20125010010;;;КрВак-;4,45E+06;4,40E+06;4,50E+06;;;;;;;;3,80E+06;3,81E+06;3,87E+06;3,60E+06;3,93E+06;2,00E+04;02.02.2001;0;740;50;24;40;2,22;1,17;0,33;;
68;СПЭЛС;20125010002;20125010007;;;КрВак-;1,15E+06;1,10E+06;1,10E+06;1,20E+06;1,20E+06;;;;;;1,02E+06;1,03E+06;1,05E+06;9,63E+05;1,05E+06;2,00E+04;02.02.2001;0;740;50;24;25;8,33;1,12;0,34;0;0
69;СПЭЛС;20125010008;20125010009;;;КрВак-;3,63E+06;3,50E+06;3,70E+06;3,80E+06;3,50E+06;;;;;;3,33E+06;3,32E+06;3,39E+06;3,13E+06;3,47E+06;3,00E+03;02.02.2001;0;740;50;24;40;7,89;1,09;0,32;5,41;7,89
70;СПЭЛС;20125010008;20125010008;;;КрВак-;3,45E+06;3,30E+06;3,60E+06;;;;;;;;3,15E+06;3,13E+06;3,19E+06;2,98E+06;3,31E+06;2,00E+04;02.02.2001;0;740;50;24;40;8,33;1,09;0,37;;
71;ПН(Смена);;;;;КрВак-;1,19E+07;1,20E+07;1,20E+07;1,10E+07;1,30E+07;1,20E+07;1,20E+07;1,10E+07;1,20E+07;1,20E+07;1,00E+07;9,95E+06;1,01E+07;9,55E+06;1,06E+07;2,00E+04;02.02.2005;-;740;50;24;-;15,38;1,18;0,36;;
72;СПЭЛС;20093040001;;;;КрВак-;4,85E+07;4,60E+07;5,10E+07;;;;;;;;4,51E+07;4,43E+07;4,52E+07;4,27E+07;4,79E+07;4,00E+04;02.02.2005;0;740;50;24;25;9,8;1,08;0,38;;
73;СПЭЛС;20093040001;;;;КрВак-;5,40E+07;5,10E+07;5,70E+07;;;;;;;;4,50E+07;4,43E+07;4,49E+07;4,30E+07;4,79E+07;4,00E+04;02.02.2005;0;740;50;24;25;10,53;1,2;0,44;;
74;СПЭЛС;20093040001;;;;КрВак-;5,35E+07;5,40E+07;5,30E+07;;;;;;;;4,81E+07;4,74E+07;4,78E+07;4,61E+07;5,10E+07;4,00E+04;02.02.2005;0;740;50;24;25;1,85;1,11;0,31;;
75;СПЭЛС;21031010001;21031010001;;;КрВак-;7,73E+07;7,80E+07;7,60E+07;7,90E+07;7,60E+07;;;;;;7,08E+07;6,97E+07;7,02E+07;6,82E+07;7,51E+07;3,00E+04;02.02.2005;0;740;50;24;25;3,8;1,09;0,31;2,56;3,8
